NXDOMAIN DATA

tappss.emart.com                                  mvno.emart.gtmc.hscdn.com.                        lookup mvno.emart.gtmc.hscdn.com.: no such host
image.wconcept.co.kr                              wconcept.swacc.skcdn.com.                         222.239.21.133
summer.istarbucks.co.kr                           summer.istarbucks.co.kr.                          60.196.0.100
kurim.kr                                          kurim.kr.                                         211.210.30.141
static.wizwid.com                                 wizwid.swacc.skcdn.com.                           211.110.63.99
cdnm.cjone.com                                    cjone.wacc.skcdn.com.                             58.229.187.6
file.pickat.com                                   file.pickat.com.                                  216.157.88.23
autodiscover.emart.com                            autodiscover.emart.com.                           202.3.23.181
images.nepa.co.kr                                 nepa.swacc.skcdn.com.                             58.228.245.67
imagem.nepa.co.kr                                 nepa.swacc.skcdn.com.                             58.228.245.67
img.nepamall.com                                  nepa.swacc.skcdn.com.                             58.228.245.67
gtqzdl.friendtimes.kr                             friendtimes.dlacc.skcdn.com.                      211.110.212.65
cdn.closedshops.com                               closedshops.wacc.skcdn.com.                       211.110.63.99
appss.emart.com                                   appss.emart.com.                                  210.92.198.105
m.istarbucks.co.kr                                m.istarbucks.co.kr.                               182.173.169.11
mjbandi.kr                                        mjbandi.kr.                                       211.210.30.141
cuimg.emart.com                                   cuimg.emart.com.                                  210.92.198.134
isyongseong.com                                   isyongseong.com.                                  211.210.30.141
devcdnm.cjone.com                                 dev.cjone.wacc.skcdn.com.                         58.229.187.6
image.xgolf.com                                   image.xgolf.com.gtmc.hscdn.com.                   222.239.85.158
image.xgolf.co.kr                                 image.xgolf.com.gtmc.hscdn.com.                   222.239.85.158
cdns2.monkey3.co.kr                               wisepeer.macc.skcdn.com.                          211.110.212.93
email.shinsegae.com                               email.shinsegae.com.                              202.3.23.181
img.midas-i.com                                   img-mezzomedia.lgucdn.com.                        182.162.108.79
imgorg.jinhakapply.com                            imgorg.jinhakapply.com.                           175.126.118.79
cdnm.tworld.co.kr                                 tworld.swacc.skcdn.com.                           180.70.134.101
simg.imadrep.co.kr                                imadrep.wacc.skcdn.com.                           211.110.63.100
img.mbn.co.kr                                     mbn.wacc.skcdn.com.                               222.239.240.19
www.skcdn.com                                     skcdn.com.                                        211.110.211.3
dimg.midas-i.com                                  dimg-mezzomedia.lgucdn.com.                       211.237.6.149
www.haeseong.kr                                   www.haeseong.kr.                                  112.175.184.74
image.buttoney.com                                image.buttoney.com.                               211.108.23.6
img-vod.mk.co.kr                                  mk.wacc.skcdn.com.                                58.228.245.67
file.mk.co.kr                                     mk.wacc.skcdn.com.                                58.228.245.67
cdn.gamemeca.com                                  d1iczfyyar5jmg.cloudfront.net.                    99.86.19.65
cdn.mariooutlet.com                               mariooutlet.wacc.skcdn.com.                       58.228.245.67
jb-i.kr                                           jb-i.kr.                                          211.210.30.141
img.sivillage.com                                 shinsegae.wacc.skcdn.com.                         222.239.240.19
ssimg.emart.com                                   ssimg.emart.com.                                  210.92.198.106
geumgu.kr                                         geumgu.kr.                                        211.210.30.141
jbise.kr                                          jbise.kr.                                         211.210.30.141
jb-sangsan.kr                                     jb-sangsan.kr.                                    211.210.30.142
jbg.kr                                            jbg.kr.                                           211.210.30.142
cdn.miguhara.com                                  miguhara.wacc.skcdn.com.                          222.239.240.19
web.istarbucks.co.kr                              web.istarbucks.co.kr.                             112.171.12.33
cdn2.dominos.co.kr                                domino.wacc.skcdn.com.                            211.110.63.99
cdn.dominos.co.kr                                 domino.wacc.skcdn.com.                            211.110.63.99
jbjae.kr                                          jbjae.kr.                                         211.210.30.142
jbedu.kr                                          jbedu.kr.                                         211.210.30.139
advimg.ad-mapps.com                               advimg-mezzomedia.lgucdn.com.                     182.162.108.80
catchon-kr.cjenm.skcdn.com                        live-englishgem.cjenm.skcdn.com.                  222.239.21.69
img.tpmn.co.kr                                    tpnm.wacc.skcdn.com.                              222.239.240.19
static.tpmn.co.kr                                 tpnm.wacc.skcdn.com.                              222.239.240.19
ssl.skcdn.com                                     ston_testinfra.skcdn.com.                         118.219.57.208
blossom2.shinsegae.com                            blossom2.shinsegae.com.                           202.3.23.180
img.tenping.kr                                    tenping.swacc.skcdn.com.                          58.228.245.67
stillshot.tving.com                               tving-stillshot.cdn.x-cdn.com.                    211.237.6.144
gselc.kr                                          gselc.kr.                                         211.210.30.141
s.wink.co.kr                                      cloudfront.wink.co.kr.                            54.230.71.46
ss.wink.co.kr                                     cloudfront.wink.co.kr.                            54.230.71.46
thumb2.gettyimageskorea.com                       multibits.wacc.skcdn.com.                         211.233.18.11
syncmedia.macc.skcdn.com                          syncmedia.macc.skcdn.com.                         58.228.245.66
jbgce.kr                                          jbgce.kr.                                         211.210.30.142
optimalmo.inven.co.kr                             inven.swacc.skcdn.com.                            58.225.75.9
cqzjdl.linekong.co.kr                             cqzjdl.linekong.co.kr.edgesuite.net.              23.15.37.25
haeseong.kr                                       haeseong.kr.                                      112.175.184.74
tour.tourexpress.com                              tourexpress.swacc.skcdn.com.                      58.228.245.67
gecdy.kr                                          gecdy.kr.                                         211.210.30.199
cdn-sk.momq.co.kr                                 cdn-sk.momq.co.kr.cdnga.net.                      14.0.112.115
gunsang.kr                                        gunsang.kr.                                       211.210.30.142
jbisec.kr                                         jbisec.kr.                                        211.210.30.141
gne.go.kr                                         gne.go.kr.                                        211.251.147.80
dbmdl.linekong.co.kr                              dbmdl.linekong.co.kr.edgesuite.net.               23.15.37.16
image.foresttrip.go.kr                            foresttrip.wacc.skcdn.com.                        211.110.63.100
sl.wink.co.kr                                     sl.wink.co.kr.                                    1.2.3.4
res.pomu.pupugame.kr                              res.pomu-enpgames.dlacc.skcdn.com.                58.228.245.67
sszjdl.linekong.co.kr                             sszjdl.linekong.co.kr.edgesuite.net.              23.15.37.17
vod.cjthemarket.com                               cj-themarket-svc.wacc.skcdn.com.                  211.110.63.99
img.cjcookit.com                                  cj-themarket-svc.wacc.skcdn.com.                  211.110.63.99
img.cjthemarket.com                               cj-themarket-svc.wacc.skcdn.com.                  211.110.63.99
static.wconcept.co.kr                             wconcept.swacc.skcdn.com.                         222.239.21.133
img.skinrx.co.kr                                  wizwid.swacc.skcdn.com.                           211.110.63.99
us.wink.co.kr                                     cloudfront.wink.co.kr.                            54.230.71.46
res.origin.pupugame.kr                            res.origin-enpgames.dlacc.skcdn.com.              222.239.240.19
qasimg.cjthemarket.com                            cj-themarket.wacc.skcdn.com.                      211.110.63.99
qasvod.cjcookit.com                               cj-themarket.wacc.skcdn.com.                      211.110.63.99
qasimg.cjcookit.com                               cj-themarket.wacc.skcdn.com.                      211.110.63.99
live-englishgem.cjenm.skcdn.com                   live-englishgem.cjenm.skcdn.com.                  222.239.21.69
optimal.inven.co.kr                               optimal.inven.co.kr.speedycat.kr.                 118.219.56.67
thumb.pickat.com                                  thumb.pickat.com.                                 95.211.189.152
imgex.wconcept.co.kr                              wconcept.swacc.skcdn.com.                         222.239.21.133
ltjddl.linekong.co.kr                             ltjddl.linekong.co.kr.edgesuite.net.              23.15.37.49


NORECORD RECORD DATA

www.appdev.istarbucks.co.kr                       
www.admin.istarbucks.co.kr                        
facebook.istarbucks.co.kr                         
www.ccc.istarbucks.co.kr                          
www.facebook.istarbucks.co.kr                     
autodiscover.starbucks.co.kr                      
admin.istarbucks.co.kr                            
msradmin.istarbucks.co.kr                         
www.msradmin.istarbucks.co.kr                     
                                                  
appdev.istarbucks.co.kr                           
www.www.istarbucks.co.kr                          
ccc.istarbucks.co.kr                              
autodiscover.echosunhotel.com                     
sns.istarbucks.co.kr                              
support.gne.go.kr                                 
srm.istarbucks.co.kr                              
yxzjdl.linekong.co.kr                             
screensaver.istarbucks.co.kr                      
res.crow.pupugame.com                             
keris.dlacc.skcdn.com                             
www.milgo.org                                     
sulchon.net                                       
im30.shinsegae.com                                
imgorg.careercatch.co.kr                          
www.gandhischool.net                              
milgo.org                                         
gandhischool.net                                  
mbn.clive.skcdn.com                               
cdn.reebonz.co.kr                                 
