NXDOMAIN DATA

test.starbucks.co.uk                              testintl.starbucks.com.                           lookup testintl.starbucks.com.: no such host
test.starbucks.com                                test.starbucks.com.                               lookup test.starbucks.com.: no such host


CNAME RECORD DATA

alexa.starbucks.com                               alexa.starbucks.com.                              98.99.254.147
testwww.starbucks.com                             testwww.starbucks.com.                            107.162.133.207
loadwww.starbucks.ca                              loadwww.starbucks.ca.                             98.99.248.41
secureui.starbucks.com                            secureui.starbucks.com.                           98.99.252.79
testsecureui.starbucks.com                        testsecureui.starbucks.com.                       98.99.252.19
preview.test.starbucks.com                        test.starbucks.com.edgekey-staging.net.           104.81.195.191
test.starbucks.de                                 test.starbucks.com.edgekey-staging.net.           104.81.195.191
test.starbucks.ca                                 test.starbucks.com.edgekey-staging.net.           104.81.195.191
app.test.starbucks.com                            test.starbucks.com.edgekey-staging.net.           104.81.195.191
en-gb.test.starbucks.com                          test.starbucks.com.edgekey-staging.net.           104.81.195.191
en-us.test.starbucks.com                          test.starbucks.com.edgekey-staging.net.           104.81.195.191
test.starbucks.com.br                             test.starbucks.com.edgekey-staging.net.           104.81.195.191
app.test.starbucks.co.uk                          test.starbucks.com.edgekey-staging.net.           104.81.195.191
test.starbucks.fr                                 test.starbucks.com.edgekey-staging.net.           104.81.195.191
fr-ca.test.starbucks.com                          test.starbucks.com.edgekey-staging.net.           104.81.195.191
app.test.starbucks.ca                             test.starbucks.com.edgekey-staging.net.           104.81.195.191
en-ie.test.starbucks.com                          test.starbucks.com.edgekey-staging.net.           104.81.195.191
app.test.starbucks.ie                             test.starbucks.com.edgekey-staging.net.           104.81.195.191
en-gb.test.starbucks.co.uk                        en-gb.test.starbucks.co.uk.                       23.41.211.170
testglobalsecureui.starbucks.com                  testglobalsecureui.starbucks.com.                 98.99.254.191
testwww.starbucks.com.br                          testwww.starbucks.com.br.                         107.162.133.207
starbucks.ca                                      starbucks.ca.                                     96.6.72.68
webmail.starbucks.com.br                          webmail.starbucks.com.br.                         189.125.18.17
f.ns.e.starbucks.com.br                           f.ns.e.starbucks.com.br.                          207.251.96.134
ebm.e.starbucks.com.br                            ebm.e.starbucks.com.br.                           207.251.96.244
f.e.starbucks.com.br                              f.e.starbucks.com.br.akamaized.net.               104.77.173.43
a.ns.e.starbucks.com.br                           a.ns.e.starbucks.com.br.                          65.125.54.133
e.ns.e.starbucks.com.br                           e.ns.e.starbucks.com.br.                          207.251.96.133
e.starbucks.com.br                                e.starbucks.com.br.                               8.33.184.254
testwww.starbucks.co.uk                           testwww.starbucks.co.uk.                          107.162.133.207


NORECORD RECORD DATA

globalloadsecureui.starbucks.com                  
Globalloadsecureui.starbucks.com                  
globalstagesecureui.starbucks.com                 
Globalstagesecureui.starbucks.com                 
www.app.test.starbucks.co.uk                      
www.starbucksmy.com                               
www.app.test.starbucks.ca                         
en-ie.test.starbucks.ie                           
saved.starbucks.com.br                            
preview.test.starbucks.ie                         
testauen.starbucks.com                            
mobilelogin.starbucks.com                         
                                                  
testazaz.starbucks.com                            
www.preview.test.starbucks.ca                     
www.test.starbucks.co.uk                          
appdev.starbucks.com                              
www.app.test.starbucks.com.br                     
www.app.test.starbucks.de                         
www.preview.test.starbucks.de                     
www.test.starbucks.de                             
www.preview.test.starbucks.com                    
www.test.starbucks.fr                             
fr-fr.test.starbucks.fr                           
preview.test.starbucks.fr                         
www.test.starbucks.ie                             
www.app.test.starbucks.fr                         
preview.test.starbucks.co.uk                      
www.preview.test.starbucks.co.uk                  
de-de.test.starbucks.de                           
www.preview.test.starbucks.fr                     
www.app.test.starbucks.com                        
www.test.starbucks.com                            
preview.test.starbucks.de                         
testcnzh.starbucks.com                            
preview.test.starbucks.ca                         
www.app.test.starbucks.ie                         
www.test.starbucks.com.br                         
en-ca.test.starbucks.ca                           
www.preview.test.starbucks.ie                     
testtwzh.starbucks.com                            
testsgen.starbucks.com                            
testjpjp.starbucks.com                            
www.test.starbucks.ca                             
testuses.starbucks.com                            
www.preview.test.starbucks.com.br                 
fr.app.starbucks.ca                               
testkrko.starbucks.com                            
testmena.starbucks.com                            
loadfr.starbucks.ca                               
