NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
api.stage2mb040.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb022.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2std057.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms057.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2std057.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms057.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb027.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.partner.stage2.paypal.com                     www.stage2.paypal.com.                            lookup www.stage2.paypal.com.: no such host
stage2.paypal.com                                 www.stage2.paypal.com.                            lookup www.stage2.paypal.com.: no such host
secure.stage2.paypal.com                          www.stage2.paypal.com.                            lookup www.stage2.paypal.com.: no such host
admin.stage2.paypal.com                           www.stage2.paypal.com.                            lookup www.stage2.paypal.com.: no such host
api.paypal.com                                    api.glb.paypal.com.                               lookup api.glb.paypal.com.: no such host
www.stage2mb027.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms048.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms058.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb019.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2std048.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2std048.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms058.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms048.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms059.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms059.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb029.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb049.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb029.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb049.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2std049.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
secure.partner.stage2.paypal.com                  www.partner.stage2.paypal.com.                    lookup www.partner.stage2.paypal.com.: no such host
