NXDOMAIN DATA

de.twitter.com                                    de.twitter.com.                                   lookup de.twitter.com.: no such host
access.twitter.com                                access.twitter.com.                               lookup access.twitter.com.: no such host
twvid.com                                         twvid.com.                                        lookup twvid.com.: no such host
_thirdparty.twitter.com                           _thirdparty.twitter.com.                          lookup _thirdparty.twitter.com.: no such host
e.twitter.com                                     e.twitter.com.                                    lookup e.twitter.com.: no such host
twimg.com                                         twimg.com.                                        lookup twimg.com.: no such host
partnerstream1.twitter.com                        partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host
staging2-partnerstream1.twitter.com               partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host


CNAME RECORD DATA

spring-chicken.twitter.com                        spring-chicken.twitter.com.                       199.16.156.128
sao-api.twitter.com                               sao-api.twitter.com.                              104.244.45.253
sin-api.twitter.com                               sin-api.twitter.com.                              104.244.45.250
partnerstream2.twitter.com                        stream.twitter.com.                               199.59.150.42
mx2.twitter.com                                   mx2.twitter.com.                                  199.59.148.205
spruce-goose-ae.twitter.com                       spruce-goose-ae.twitter.com.                      199.59.150.74
mta66.e.twitter.com                               mta66.e.twitter.com.                              136.147.183.230
tweetdeck.com                                     tweetdeck.com.                                    199.59.148.21
gtcp-na.twitter.com                               gtcp-na.twitter.com.                              35.186.207.124
slides.twitter.com                                slides.twitter.com.                               216.146.46.10
api-0-4-2.twitter.com                             api-0-4-2.twitter.com.                            209.237.197.128
web.tweetdeck.com                                 td.twitter.com.                                   104.244.42.68
sa.twitter.com                                    sa.twitter.com.                                   199.16.156.41
api3-backup.twitter.com                           api3-backup.twitter.com.                          199.59.149.205
api-25-0-0.twitter.com                            api-25-0-0.twitter.com.                           69.195.173.128
api-0-4-7.twitter.com                             api-0-4-7.twitter.com.                            209.237.201.128
mia-api.twitter.com                               mia-api.twitter.com.                              104.244.45.246
analytics.twitter.com                             ads.twitter.com.                                  104.244.42.67
api-0-4-6.twitter.com                             api-0-4-6.twitter.com.                            209.237.200.128
fra-api.twitter.com                               fra-api.twitter.com.                              104.244.45.254
sms-atla.twitter.com                              sms-atla.twitter.com.                             199.16.156.42
www3-backup.twitter.com                           www3-backup.twitter.com.                          199.59.149.203
mta11.e.twitter.com                               mta11.e.twitter.com.                              136.147.183.176
syndication.twimg.com                             syndication.twimg.com.                            104.244.42.200
api-stream.twitter.com                            probe.twitter.com.                                104.244.42.67
spruce-goose-bh.twitter.com                       spruce-goose-bh.twitter.com.                      199.59.150.103
pbs-ec.twimg.com                                  cs196.wac.edgecastcdn.net.                        192.229.237.96
abs.twimg.com                                     cs196.wac.edgecastcdn.net.                        192.229.237.96
ton.twimg.com                                     cs196.wac.edgecastcdn.net.                        192.229.237.96
gu.twimg.com                                      cs196.wac.edgecastcdn.net.                        192.229.237.96
hca.twimg.com                                     cs196.wac.edgecastcdn.net.                        192.229.237.96
ea.twimg.com                                      cs196.wac.edgecastcdn.net.                        192.229.237.96
api-38-0-0.twitter.com                            api-38-0-0.twitter.com.                           69.195.185.128
mail-in.twitter.com                               mail-in.twitter.com.                              199.59.148.207
api-23-0-0.twitter.com                            api-23-0-0.twitter.com.                           69.195.182.128
spring-chicken-bg.twitter.com                     spring-chicken-bg.twitter.com.                    199.16.156.172
spruce-goose-bk.twitter.com                       spruce-goose-bk.twitter.com.                      199.59.150.106
spruce-goose-ay.twitter.com                       spruce-goose-ay.twitter.com.                      199.59.150.94
dc-api.twitter.com                                dc-api.twitter.com.                               104.244.45.3
api-46-0-0.twitter.com                            api-46-0-0.twitter.com.                           69.195.169.128
pbs-o.twimg.com                                   pbs-o.twimg.com.                                  104.244.42.137
assets3.twitter.com                               static.twitter.com.                               104.244.42.3
spring-chicken-ae.twitter.com                     spring-chicken-ae.twitter.com.                    199.16.156.144
spring-chicken-az.twitter.com                     spring-chicken-az.twitter.com.                    199.16.156.165
mta13.e.twitter.com                               mta13.e.twitter.com.                              136.147.183.178
Platform.twitter.com                              cs472.wac.edgecastcdn.net.                        192.229.237.25
t.co                                              t.co.                                             104.244.42.5
atl-api.twitter.com                               atl-api.twitter.com.                              104.244.45.247
spruce-goose-bz.twitter.com                       spruce-goose-bz.twitter.com.                      199.59.150.121
mx.twitter.com                                    mx.twitter.com.                                   199.59.149.106
mta64.e.twitter.com                               mta64.e.twitter.com.                              136.147.183.228
syd-api.twitter.com                               syd-api.twitter.com.                              104.244.45.251
v.cdn.vine.co                                     platform.twitter.map.fastly.net.                  151.101.8.157
video.twimg.com                                   cs296.wpc.edgecastcdn.net.                        117.18.232.102
P.twimg.com                                       wildcard.twimg.com.                               151.101.8.159
pbs-h2.twimg.com                                  pbs.twimg.com.                                    192.229.237.96
ma0.twimg.com                                     wildcard.twimg.com.                               151.101.8.159
ma3.twimg.com                                     wildcard.twimg.com.                               151.101.8.159
ma1.twimg.com                                     wildcard.twimg.com.                               151.101.8.159
ma-0.twimg.com                                    ma-zero.twimg.com.                                104.244.43.195
o-0.twimg.com                                     o-zero.twimg.com.                                 104.244.43.227
pbs-0.twimg.com                                   pbs-zero.twimg.com.                               104.244.43.99
concon-staging.twitter.com                        s.twitter.com.                                    104.244.42.131
fyf.twitter.com                                   s.twitter.com.                                    104.244.42.131
cheddar.twitter.com                               s.twitter.com.                                    104.244.42.131
www.tnf.twitter.com                               s.twitter.com.                                    104.244.42.131
obs.twitter.com                                   s.twitter.com.                                    104.244.42.131
video.twitter.com                                 s.twitter.com.                                    104.244.42.131
spruce-goose-ak.twitter.com                       spruce-goose-ak.twitter.com.                      199.59.150.80
syndication-o.twimg.com                           syndication-o.twimg.com.                          104.244.42.9
mls.twitter.com                                   s.twitter.com.                                    104.244.42.131
mobile.twitter.com                                mobile.twitter.com.                               104.244.42.6
legalrequests.twitter.com                         s.twitter.com.                                    104.244.42.131
fly.twitter.com                                   s.twitter.com.                                    104.244.42.131
nikebreaking2.twitter.com                         s.twitter.com.                                    104.244.42.131
api.tweetdeck.com                                 td.twitter.com.                                   104.244.42.68
assets1.twitter.com                               static.twitter.com.                               104.244.42.3
ms1.twitter.com                                   s.twitter.com.                                    104.244.42.131
scribe.twitter.com                                s.twitter.com.                                    104.244.42.131
pic.twitter.com                                   s.twitter.com.                                    104.244.42.131
spring-chicken-cd.twitter.com                     spring-chicken-cd.twitter.com.                    199.16.156.138
spruce-goose-ab.twitter.com                       spruce-goose-ab.twitter.com.                      199.59.150.71
mta26.e.twitter.com                               mta26.e.twitter.com.                              136.147.183.191
spruce-goose-al.twitter.com                       spruce-goose-al.twitter.com.                      199.59.150.81
spruce-goose-bv.twitter.com                       spruce-goose-bv.twitter.com.                      199.59.150.117
donate.twitter.com                                s.twitter.com.                                    104.244.42.131
spruce-goose-bl.twitter.com                       spruce-goose-bl.twitter.com.                      199.59.150.107
spring-chicken-ad.twitter.com                     spring-chicken-ad.twitter.com.                    199.16.156.143
pop-api.twitter.com                               pop-api.twitter.com.                              104.244.45.129
lon-api.twitter.com                               lon-api.twitter.com.                              104.244.45.255
tw-ton.twitter.com                                tw-ton.twitter.com.                               104.244.42.212
api-44-0-0.twitter.com                            api-44-0-0.twitter.com.                           69.195.165.128
api-39-0-0.twitter.com                            api-39-0-0.twitter.com.                           69.195.175.128
twitter.com                                       twitter.com.                                      104.244.42.129
mta16.e.twitter.com                               mta16.e.twitter.com.                              136.147.183.181
fb-staging.twitter.com                            fb-staging.twitter.com.                           199.59.148.202
elections.twitter.com                             s.twitter.com.                                    104.244.42.131
streetgigs.twitter.com                            s.twitter.com.                                    104.244.42.131
frenchelections.twitter.com                       s.twitter.com.                                    104.244.42.131
thegameawards.twitter.com                         s.twitter.com.                                    104.244.42.131
apps.twitter.com                                  s.twitter.com.                                    104.244.42.131
blog.tweetdeck.com                                td.twitter.com.                                   104.244.42.68
goldenglobes.twitter.com                          s.twitter.com.                                    104.244.42.131
records.twitter.com                               s.twitter.com.                                    104.244.42.131
spring-chicken-bz.twitter.com                     spring-chicken-bz.twitter.com.                    199.16.156.134
api-0-4-3.twitter.com                             api-0-4-3.twitter.com.                            209.237.198.128
api-35-0-0.twitter.com                            api-35-0-0.twitter.com.                           69.195.164.128
api-20-0-0.twitter.com                            api-20-0-0.twitter.com.                           69.195.186.128
