avm.starbucks.com          avm.trafficmanager.net
globalassets.starbucks.com          globalassets.starbucks.com.edgekey.net
teststore.starbucks.com          www.teststore.starbucks.com
pwss.starbucks.com          pwss-chd2.starbucks.com
mail.starbucks.com          mail-iad.starbucks.com
openapi.starbucks.com          sbux-production-oapi-prod-dial.apigee.net
app.starbucks.com          starbuckssites.starbucks.com.edgekey.net
id-dev.starbucks.com          id-dev.gtm.starbucks.com
integration.ucpc.starbucks.com          sbux-integration-ucp-master.apigee.net
play.starbucks.com          www.starbucks.com
cdx.starbucks.com          sbux-production-cdx-prod.apigee.net
livingourvalues.starbucks.com          sdlgreen.starbucks.com
cdx-nonprod-api.starbucks.com          s00199cdxtmna.trafficmanager.net
pdx.starbucks.com          new-public-web-1573560045.us-east-1.elb.amazonaws.com
sgsmsuppliertest.starbucks.com          bs4ay.x.incapdns.net
smreporting.starbucks.com          smreporting-v9-a.starbucks.com
connecttest.starbucks.com          d2ryli2z4zvqcf.cloudfront.net
sso-group2.starbucks.com          sso-group2-iad.starbucks.com
test10.openapi.starbucks.com          sbux-oapi-dev-develop.apigee.net
content-prod-live.cert.starbucks.com          content-prod-live.cert.starbucks.com.edgekey.net
mobilecarddownload.starbucks.com          testcardmobile.starbucks.com
stagewww.starbucks.com          wwwstage.starbucks.com
quality.starbucks.com          www.starbucks.com
itsm.starbucks.com          txnmid-a-v9.starbucks.com
mtestwww2.starbucks.com          testwww.starbucks.com
cert-teams-ec3.starbucks.com          partner-hub-cert-vs-iad.starbucks.com
testwww5.starbucks.com          testwww.starbucks.com
deepbrew-prod-api.starbucks.com          s00188trfpdeepbrew.trafficmanager.net
prodcrmpospa1.starbucks.com          prodcrmpospa1-starbucks.nssb-oracle.com
ct.ucpc.starbucks.com          sbux-integration-ucp-stable.apigee.net
