NXDOMAINS DATA 
spectrum-pd.starbucks.com                                 spectrum-pd.vpc.starbucks.net
certupgpospa2.starbucks.com                                 bigip-certupgpospa2-starbucks.oracle.com
devbi.starbucks.com                                 bigip-devbi-starbucks.oracle.com
certupgpospa1.starbucks.com                                 bigip-certupgpospa1-starbucks.oracle.com
tstcrmapps.starbucks.com                                 tstcrmapps-starbucks.nssb-oracle.com
wfmnaptnpc.starbucks.com                                 s00149tmppcptn.trafficmanager.net
bi-gis-cert.starbucks.com                                 bi-gis.starbucks.com
prodcrmapps.starbucks.com                                 prodcrmapps-starbucks.nssb-oracle.com
ct.spc.starbucks.com                                 sbux-production-ucp-master.apigee.net
trace-psdev.starbucks.com                                 s00174atww2twsps.trafficmanager.net
lstech-asp-sd.starbucks.com                                 lstech-asp-sd.vpc.starbucks.net
sco-asp-sd.starbucks.com                                 sco-asp-sd.vpc.starbucks.net
lstech-asp-pd.starbucks.com                                 lstech-asp-pd.vpc.starbucks.net
CNAME RECORDS DATA 
wfmnapimps.starbucks.com                                 s00150tmppspim.trafficmanager.net                                 IP52.176.6.37
spc.starbucks.com                                 sbux-production-ucp-prod.apigee.net                                 IP13.115.155.140
deepbrew-preprod-api.starbucks.com                                 s00188trfppdeepbrew.trafficmanager.net                                 IP52.226.134.64
awcm.starbucks.com                                 awcm.gtm.starbucks.com                                 IP98.99.252.156
certltyapps-oid.starbucks.com                                 bigip-certltyapps-oid-starbucks.oracle.com                                 IP148.87.231.187
prodcrmapps-oid.starbucks.com                                 bigip-prodcrmapps-oid-starbucks.oracle.com                                 IP144.23.241.232
awconsole-cert.starbucks.com                                 awconsole-cert.gtm.starbucks.com                                 IP98.99.254.171
customerservice.starbucks.com                                 starbucksweb.custhelp.com                                 IP74.117.200.136
id.starbucks.com                                 id.gtm.starbucks.com                                 IP185.204.152.84
sgsmsuppliertest.starbucks.com                                 bs4ay.x.incapdns.net                                 IP45.60.67.148
eapi-load.starbucks.com                                 sbux-load-gcp-eapi-load-gcp.apigee.net                                 IP35.227.184.71
wfmnapayps.starbucks.com                                 s00150tmppspay.trafficmanager.net                                 IP52.176.6.37
certaccess.starbucks.com                                 certaccess.gtm.starbucks.com                                 IP98.99.252.53
ps.spc.starbucks.com                                 sbux-integration-ucp-stable.apigee.net                                 IP13.114.228.22
d02.spc.starbucks.com                                 sbux-eapi-dev-develop.apigee.net                                 IP34.216.23.134
certltycrmapps.starbucks.com                                 certltycrmapps-starbucks.nssb-oracle.com                                 IP144.23.238.147
test19.openapi.starbucks.com                                 sbux-oapi-dev-cicd.apigee.net                                 IP34.216.23.159
pro-asp-api.starbucks.com                                 fd-pips-prod.azurefd.net                                 IP13.107.246.10
wfmnapospc.starbucks.com                                 s00149tmppcpos.trafficmanager.net                                 IP40.86.99.202
testltycrmapps.starbucks.com                                 bigip-testltycrmapps-starbucks.oracle.com                                 IP148.87.129.46
ucpc.starbucks.com                                 sbux-production-ucp-prod.apigee.net                                 IP13.230.10.3
cdx.starbucks.com                                 sbux-production-cdx-prod.apigee.net                                 IP34.216.23.18
pro-asp-api-cert.starbucks.com                                 fd-pips-cert.azurefd.net                                 IP13.107.246.10
eapi.starbucks.com                                 sbux-production-eapi-prod.apigee.net                                 IP34.216.23.186
oem-omcs.starbucks.com                                 bigip-oem-omcs-starbucks.oracle.com                                 IP144.23.238.252
scm-asp-sd.starbucks.com                                 s00326-pip-scmsd.westus.cloudapp.azure.com                                 IP104.42.150.189
cloudapps.starbucks.com                                 cloudapps.gtm.starbucks.com                                 IP185.204.152.76
wfmnarpt.starbucks.com                                 s00150tmppdrpt.trafficmanager.net                                 IP52.176.6.37
pd.cdx.starbucks.com                                 sbux-integration-cdx-master.apigee.net                                 IP34.216.23.38
cappromo.starbucks.com                                 starbucksogprod-249485271.ap-southeast-1.elb.amazonaws.com                                 IP18.139.122.171,54.255.137.71
prod01.gifts.starbucks.com                                 s00293ppipgift01.westus.cloudapp.azure.com                                 IP137.117.18.10
smreporting.starbucks.com                                 smreporting-v9-a.starbucks.com                                 IP98.99.252.193
pf.ucpc.starbucks.com                                 sbux-load-gcp-ucp-load-gcp.apigee.net                                 IP35.227.184.71
eapi-dev.starbucks.com                                 sbux-eapi-dev-develop.apigee.net                                 IP34.216.23.24
deepbrew-prod-api.starbucks.com                                 s00188trfpdeepbrew.trafficmanager.net                                 IP13.92.193.110
test.openapi.starbucks.com                                 sbux-integration-oapi-stable-dial.apigee.net                                 IP34.216.23.159
pro-asp-api-dev.starbucks.com                                 fd-pips-dev.azurefd.net                                 IP13.107.246.10
sd-asp-ct.starbucks.com                                 s00326aspctnprod01.westus.cloudapp.azure.com                                 IP40.112.164.72
test.ucp.starbucks.com                                 sbux-integration-ucp-master.apigee.net                                 IP52.194.30.49
load.parity.starbucks.com                                 ap-parity-load-01.apigee.net                                 IP34.215.9.82,34.223.218.220,34.211.93.255
stagesecureui.starbucks.com                                 stagesecureui-iad.starbucks.com                                 IP98.99.252.44
wfmnarptps.starbucks.com                                 s00150tmppsrpt.trafficmanager.net                                 IP52.176.6.37
np.sei.starbucks.com                                 s00404nfd-b451ddc0-7cac-42ba-9f95-ab62400c2b71.azurefd.net                                 IP13.107.246.10
certcrmpospa1-dr.starbucks.com                                 bigip-certcrmpospa1-dr-starbucks.oracle.com                                 IP148.87.129.109
t02.spc.starbucks.com                                 sbux-integration-ucp-master.apigee.net                                 IP52.192.24.183
ucp.starbucks.com                                 sbux-production-ucp-prod.apigee.net                                 IP13.230.210.200
connectadmin.starbucks.com                                 d3amdjk0uar0yf.cloudfront.net                                 IP13.33.169.109,13.33.169.107,13.33.169.4,13.33.169.82
wfmnapimpc.starbucks.com                                 s00149tmppcpim.trafficmanager.net                                 IP40.86.99.202
ucpr.starbucks.com                                 sbux-production-ucp-prod.apigee.net                                 IP13.115.155.140
pi.spc.starbucks.com                                 sbux-integration-ucp-master.apigee.net                                 IP52.192.24.183
stories.starbucks.com                                 stories.starbucks.com.cdn.cloudflare.net                                 IP104.17.168.3,104.17.167.3
test14.openapi.starbucks.com                                 sbux-integration-oapi-master-dial.apigee.net                                 IP34.216.23.159
pdx-qa.starbucks.com                                 pdx-qa-starbucks-com-22614278.us-east-1.elb.amazonaws.com                                 IP52.72.229.59,52.0.156.158
connectadmintest.starbucks.com                                 d2dqadl4rp55po.cloudfront.net                                 IP13.33.169.91,13.33.169.2,13.33.169.24,13.33.169.21
